,Year,Month,revenue,units_sold,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,const,predicted_revenue,error
0,2015,1,23.869789996652,0.017096,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-14.977439279030865
1,2015,2,24.6661341020239,0.01416,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-14.181095173658964
2,2015,3,24.730365300818,0.011573,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-14.116863974864863
3,2015,4,24.3348039290868,0.011949,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-14.512425346596064
4,2015,5,23.410392644400602,0.010881,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-15.436836631282262
5,2015,6,23.5766675,0.011168,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-15.270561775682864
6,2015,7,75.22617024981439,0.019046,57.57349413558849,75.68963995964403,-93.93917005122829,0.0,-25.706313116597816,-5.4247182140066545,18.158378519034223,0.0,-0.0,38.847229275682864,65.19854050811684,10.027629741697552
7,2015,8,59.83676174294221,0.017522,0.0,51.125603264604884,-29.932521157074984,0.0,-5.516629046787697,-2.065357238903507,11.980062051337125,0.0,-0.0,38.847229275682864,64.43838714885868,-4.601625405916472
8,2015,9,67.0071321249405,0.01635,342.1711224188759,53.450190277592334,-338.9092897232499,110.28068947073045,-117.6467923564141,-21.596192192282103,20.65998852680111,0.0,-0.0,38.847229275682864,87.25694569773658,-20.249813572796086
9,2015,10,459.18085359110404,0.18575,447.50973904244483,199.75366727139985,-405.5437691900992,312.2454169420352,-149.31645741723563,-26.427373652204945,55.203863346833465,0.0,-0.0,38.847229275682864,472.27231561885645,-13.091462027752414
10,2015,11,156.73963198100168,0.077239,357.7290131155893,51.125603264604884,-138.89310719689226,57.046199947829095,-130.926459715977,-25.5106510633182,18.590756753807963,0.0,-0.0,38.847229275682864,228.00858438132664,-71.26895240032496
11,2015,12,299.4509167212515,0.111541,415.9497293855621,86.11711070593554,-318.75537911732266,158.65155513467687,-142.22740710798547,-25.971709036219362,29.459534213770812,0.0,-0.0,38.847229275682864,242.07066345410075,57.38025326715072
12,2016,1,309.10613020844187,0.107919,367.8546041019957,28.817376245832616,-66.8739939072747,140.6546932968743,-143.7391496238178,-27.323366843348587,16.354777365970904,294.80524005316715,-361.168444622945,38.847229275682864,288.22896534213737,20.877164866304497
13,2016,2,240.75413509701932,0.108156,268.2801861270413,64.19845770450029,-123.65714181811755,110.28068947073045,-132.1251908497583,-25.278028266150514,17.93959814071648,0.0,-0.0,38.847229275682864,218.48579978464505,22.268335312374262
14,2016,3,243.79951438680044,0.103804,576.3606989087776,68.17168224315171,-264.70593905568535,86.46587031738918,-126.05627678448198,-24.571416574857835,18.590756753807963,152.49740231452085,-262.2807995667724,38.847229275682864,263.31920783153265,-19.519693444732212
15,2016,4,200.1707002401868,0.086496,406.6367225792495,41.003217777994294,-191.7217794514332,0.0,-118.07668404211086,-23.362541968841175,16.354777365970904,0.0,-0.0,38.847229275682864,169.6809415365123,30.489758703674482
16,2016,5,40.1297760316464,0.018708,185.04672855484563,38.20554738687913,-224.8760708148998,131.05775207780644,-146.7313081448664,-25.971709036219362,22.029493740433534,172.00954667137904,-131.01174371193605,38.847229275682864,58.605465999105014,-18.475689967458614
17,2016,6,40.4274888515597,0.018439,207.90931283277996,53.450190277592334,-195.01665018313162,0.0,-76.47645950761566,-15.25070779256434,15.157099331230457,0.0,-0.0,38.847229275682864,28.620014233974054,11.807474617585648
18,2016,7,72.857150088169,0.023072,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,34.00992081248614
19,2016,8,61.32037801060679,0.022203,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,22.473148734923925
20,2016,9,61.2547956139073,0.021831,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,22.407566338224434
21,2016,10,37.7710495777134,0.017022,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-1.076179697969465
22,2016,11,38.1273028003411,0.016111,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,-0.7199264753417651
23,2016,12,44.6045420546567,0.018146,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,38.847229275682864,38.847229275682864,5.757312778973834
